idPost,Nume
103,FAINA
104,MALAI
105,PIINE
106,PRODUSE DE FRANZELARIE
107,BISCUITI
108,SPECIALITATI DE PANIFICATIE
109,PASTE FAINOASE
110,OREZ
111,GRIS ARPACAS
112,ALTE PRODUSE DIN CEREALE
113,LEGUME
126,MURATURI SI VARZA ACRA
127,BULION
128,CONSERVE DE LEGUME
129,FRUCTE
139,CITRICE ALTE FRUCTE MERI- DIONALE SI TROPICALE
141,ULEI COMESTIBIL
142,MARGARINA
143,COMPOT DE FRUCTE
144,DULCEATA GEM
145,SIROP DE FRUCTE
146,ZAHAR
147,CIOCOLATA BOMBOANE
148,RAHAT HALVA
149,ALTE PRODUSE ZAHAROASE
150,CAFEA
151,CACAO
152,VIN
153,PRODUSE DIN VIN
154,BERE
155,TUICA SI RACHIURITURALE
156,ALTE BAUTURI ALCOOLICE
157,BAUTURI NEALCOOLICE
158,CARNE DE BOVINE
159,CARNE DE PORCINE
160,CARNE DE OVINE
161,CARNE DE PASARE
163,SPECIALITATI PREPARATE DIN CARNE
164,SALAMURI CIRNATI
165,ALTE PREPARATE DIN CARNE
166,CONSERVE DIN CARNE
167,SLANINA CRUDA UNTURA
169,PESTE
171,CONSERVE DIN PESTE
172,LAPTE
176,BRINZA (TELEMEA)
178,BRINZA PROASPATA SI SMINTINA
179,CASCAVAL
180,ALTE FELURI DE BRINZA
181,UNT
182,OUA
183,MIERE DE ALBINE
184,SARE SI CONDIMENTE
185,ALTE PRODUSE ALIMENTARE
201,TESATURI DIN BUMBAC SI TIP BUMBAC
202,TESATURI DIN LINA SI TIP LINA
203,TESATURI DIN MATASE SI TIP MATASE
204,TESATURI DIN ALTE FELURI DE FIRE
205,CONFECTII DIN BUMBAC SI TIP BUMBAC PENTRU BARBATI
206,CONFECTII DIN LINA SI TIP LINA PENTRU BARBATI
207,CONFECTII DIN MATASE SI TIP MATASE PENTRU BARBATI
208,CONFECTII DIN ALTE TESATURI PENTRU BARBATI
209,CONFECTII DIN PIEI SI BLANURITURALE PT. BARBATI
210,CONFECTII DIN PIEI SI BLA- NURI ECOLOGICE PT. BARBATI
211,CONFECTII DIN BUMBAC SI TIP BUMBAC PENTRU FEMEI
212,CONFECTII DIN LINA SI TIP LINA PENTRU FEMEI
213,CONFECTII DIN MATASE SI TIP MATASE PENTRU FEMEI
214,CONFECTII DIN ALTE TESATURI PENTRU FEMEI
215,CONFECTII DIN PIEI SI BLANATURALA PENTRU FEMEI
216,CONFECTII DIN PIEI SI BLANA ECOLOGICA PENTRU FEMEI
217,CONFECTII DIN BUMBAC SI TIP BUMBAC PENTRU COPII
218,CONFECTII DIN LINA SI TIP LINA PENTRU COPII
219,CONFECTII DIN MATASE SI TIP MATASE PENTRU COPII
220,CONFECTII DIN ALTE FELURI DE TESATURI PENTRU COPII
221,CONFECTII DIN PIEI SI BLANURI PENTRU COPII
222,TRICOTAJE PENTRU BARBATI
223,TRICOTAJE PENTRU FEMEI
224,TRICOTAJE PENTRU COPII
225,CIORAPI SI SOSETE PENTRU BARBATI
226,CIORAPI SI SOSETE PENTRU FEMEI
227,CIORAPI SI SOSETE PENTRU COPII
228,INCALTAMINTE DIN PIELETURALA PENTRU BARBATI
229,INCALTAMINTE DIN PIELE SINTETICA SI INLOCUITORI PENTRU BARBATI
230,INCALTAMINTE DIN CAUCIUC SI MASE PLASTICE PENTRU BARBATI
231,INCALTAMINTE DIN PIELETURALA PENTRU FEMEI
232,INCALTAMINTE DIN PIELE SINTETICA SI INLOCUITORI PENTRU FEMEI
233,INCALTAMINTE DIN CAUCIUC SI MASE PLASTICE PENTRU FEMEI
234,INCALTAMINTE DIN PIELETURALA PENTRU COPII
235,INCALTAMINTE DIN PIELE SINTETICA SI INLOCUITORI PENTRU COPII
236,INCALTAMINTE DIN CAUCIUC SI MASE PLASTICE PENTRU COPII
