idSort,Denumire,Grupa,idPost
10301,FAINA ALBA (TIP 650) - PREAMBALATA,1,103
10302,FAINA ALBA SUPERIOARA (480 TIP 000) - PREAMBALATA,1,103
10402,MALAI EXTRA INDIGEN - PREAMBALAT,1,104
10501,PIINE ALBA SIMPLA,1,105
10502,PIINE ALBA FORMAT BAGHETA,1,105
10503,PIINE NEAGRA SIMPLA FORMAT ROTUND OVAL SAU LUNG,1,105
10504,PIINE ALBA ACLORIDA (FARA SARE),1,105
10505,PIINE GRAHAM,1,105
10506,PIINE ALBA DE CALITATE SUPERI- OARA CU AMELIORATORI,1,105
10507,PIINE FELIATA (PACHET CELOFAN),1,105
10508,PIINE DIN FAINURI SPECIALE - PREAMBALATA,1,105
10509,PIINE SEMIALBA (INTERMEDIARA INTEGRALA),1,105
10510,PIINE ALBA CU CARTOFI,1,105
10601,BATOANE (80-100 G),1,106
10602,CHIFLE SIMPLE DIN FAINA ALBA (50-100 G),1,106
10604,CORNURI (80-100 G),1,106
10605,COVRIGI CU SARE SI MAC (CCA. 50-100 G),1,106
10701,BISCUITI SIMPLI - VRAC,1,107
10702,"BISCUITI TIP ""MIRELA"" - VRAC",1,107
10704,"BISCUITI FRAGEZI DULCI CU CACAO TIP ""PICNIC"" (60-85 G)",1,107
10705,"BISCUITI TIP ""EUGENIA"" (PACHET DE 25-40 G)",1,107
10707,BISCUITI CU CREMA (70-85 G),1,107
10708,"BISCUITI DULCI TIP ""PETIT BEURRE"" (140 G)",1,107
10709,"BISCUITI ""SALATINI""",1,107
10710,BISCUITI DIGESTIVI - VRAC,1,107
10804,FOI DE PLACINTA (PACHET DE 350-500 G),1,108
10807,COZONAC CU DIFERITE UMPLUTURI (400-800 G),1,108
10808,MINIPATEURI CU DIFERITE UMPLUTURI,1,108
10809,STRUDEL (CU MERE SAU BRINZA) (70-100 G),1,108
10810,BLAT PIZZA - PACHET 250-400 G,1,108
10811,SARATELE (AMBALATE IN PUNGI) (100-125 G),1,108
10812,CHEC (CACAO STAFIDE) (200-500 G),1,108
10813,COZONAC DE POST CU RAHAT (400-800 G),1,108
10814,BLAT DE TORT PREAMBALAT TIP PANDISPAN (200-400 G),1,108
10815,COVRIGEI CU SAREMAC SAU SUSAN,1,108
10901,PASTE FAINOASE EXTRA DE DIFE- RITE FORME: SCOICI MELCI ETC. (PUNGA DE 200-500 G) -,1,109
10902,TAITEI CU OU (PUNGA DE 200-400 G),1,109
10905,SPAGHETTI - IMPORT (PACHET DE 500 G),1,109
10906,SPAGHETTI - INDIGENE (PACHET DE 400-500 G),1,109
10907,MACAROANE (PACHET DE 500 G),1,109
11001,OREZ CU BOB ROTUND PREAMBALAT,1,110
11002,OREZ CU BOB LUNG PREAMBALAT,1,110
11003,OREZ PREFIERT,1,110
11101,GRIS PREAMBALAT (PUNGA 500 G),1,111
11102,ARPACAS PREAMBALAT,1,111
11202,PESMET ALB (PUNGA DE 500 G),1,112
11203,FULGI DE PORUMB - INDIGENI (PUNGA DE 150 G),1,112
11204,"CEREALE PENTRU MICUL DEJUN ""NESTLE"" (PUNGA DE 250 G)",1,112
11205,MUSLI VITALIS (CUTIE 300 G),1,112
11301,FASOLE USCATA,1,113
11401,CARTOFI TIMPURII SI DE VARA,1,113
11402,CARTOFI DE TOAMNA,1,113
11501,MORCOVI,1,113
11602,RIDICHI DE IARNA,1,113
11603,SFECLA ROSIE,1,113
11701,TOMATE (ROSII) DE CIMP,1,113
11702,TOMATE (ROSII) DE SERA SI SOLARII,1,113
11801,PATLAGELE VINETE DE CIMP,1,113
11802,PATLAGELE VINETE DE SERA SI SOLARII,1,113
11901,CEAPA USCATA,1,113
12101,ARDEI GRAS DE CIMP,1,113
12102,ARDEI GRAS DE SERA SI SOLARII,1,113
12301,VARZA ALBA DULCE DE TOAMNA,1,113
12302,VARZA ALBA DULCE TIMPURIE SI DE VARA,1,113
12305,BROCOLI,1,113
12501,CASTRAVETI PROASPETI DE CIMP,1,113
12502,CASTRAVETI PROASPETI DE SERA SI SOLARII,1,113
12504,DOVLECEI,1,113
12511,"CIUPERCI ""CHAMPIGNON"" (DE CULTURA)",1,113
12512,SALATA VERDE DE CIMP,1,113
12513,SALATA VERDE DE SERA SI SOLARII,1,113
12514,FULGI DE CARTOFI - INDIGENI (CUTIE CARTON CCA. 100 G),1,113
12515,FULGI DE FASOLE - INDIGENI (CUTIE CARTON CCA. 100 G),1,113
12516,AMESTEC DE LEGUME CONGELATE (GREENS DUJARDIN) - PUNGA CCA. 450 G,1,113
12603,CASTRAVETI IN OTET - INDIGENI (BORCAN DE CCA. 720 ML),1,126
12604,GOGOSARI ROSII - INDIGENI (BORCAN DE CCA. 720 ML),1,126
12701,PASTA DE TOMATE - INDIGENA (BORCAN DE 314-420 ML),1,127
12702,BULION - INDIGEN (BORCAN DE 314-420 ML),1,127
12703,TOMATE (ROSII INTREGI) IN BULION - INDIGENE (BORCAN DE CCA. 720 ML),1,127
12709,"SOS TOMAT (KETCHUP) PENTRU GARNITURI - TIP ""TOMI TOPWAY"" (RECIPIENT PLASTIC DE 350 G)",1,127
12710,SUC DE ROSII (CUTIE CARTON) - 1000 ML,1,127
12801,MAZARE VERDE (BORCAN DE CCA. 720 ML),1,128
12802,FASOLE PASTAI TAIATA (BORCAN DE CCA. 720 ML),1,128
12803,GHIVECI (BORCAN DE CCA.720 ML),1,128
12804,TOCANA DE LEGUME (BORCAN DE 300-370 ML),1,128
12807,CIUPERCI TIP CHAMPIGNON (CUTIE METALICA 400 G),1,128
12808,ZACUSCA TRADITIONALA (BORCAN 270-315 G),1,128
12809,ZARZAVAT PENTRU CIORBE (BORCAN DE CCA. 720 ML),1,128
12810,SPANAC (BORCAN 580-720 ML),1,128
12811,PORUMB BOABE (CUTIE 250-425 G),1,128
12812,"PIURE DE LEGUME (EXCL. CARNE) PENTRU COPII (""NESTLE"" ""HIPP"") - BORCAN 190-220 G",1,128
13101,MERE,1,129
13402,PIERSICI,1,129
13501,PRUNE PROASPETE,1,129
13601,STRUGURI DE MASA,1,129
13801,NECTARINE,1,129
14002,FRUCTE CONGELATE - VRAC (CAPSUNI FRUCTE PADURE ETC.),1,129
13901,LAMII,1,139
13902,PORTOCALE,1,139
13903,BANANE,1,139
13904,GRAPEFRUIT,1,139
13905,MASLINE NEGRE - CAL. I,1,139
13906,STAFIDE - VRAC,1,139
13907,KIWI,1,139
13908,MANDARINE,1,139
14105,ULEI DE FLOAREA SOARELUI DUBLU RAFINAT,1,141
14106,"ULEI DE FLOAREA SOARELUI DUBLU RAFINAT TIP ""FLORIOL"" SAU ""BUNICA""",1,141
14107,ULEI DE MASLINE (STICLA DE 500 ML),1,141
14108,ULEI DE PORUMB EXTRAS LA RECE,1,141
14201,MARGARINA (CUTIE PLASTIC DE 500 G),1,142
14202,MARGARINA - INDIGENA (PACHET DE 250 G),1,142
14203,MARGARINA - CUTIE PLASTIC 250 G (WIESANA DELMA),1,142
14301,COMPOT DE PIERSICI - INDIGEN (BORCAN DE 720 ML),1,143
14304,COMPOT DE ANANAS - IMPORT (CUTIE METALICA DE 565 ML),1,143
14306,COMPOT DE PRUNE - INDIGEN (BORCAN DE CCA. 720 ML),1,143
